"ComparisonGuid","ObjectType","SchemaName","ObjectName","ParentObjectName","DifferenceType","SourceHash","TargetHash","SourceFile","PreflightFile","SupportFiles","DeploymentMode","IsSupported","WasMaterialized","MaterializedDefinitionSha256","Reason"
"5ffbc011-6717-4dc8-abe9-31cce01212ab","Function","SCrm","tvf_AccountsCheckForDuplicate","","MissingInTarget","A45A501BEC5673CDA477D61F731AB1F3E59FD1490C95BFAAC9FE3AAB46469610","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Programmability\Functions\SCrm.tvf_AccountsCheckForDuplicate.sql","","System.Object[]","CanonicalAlter","True","False","","Source-controlled SQL file resolved."
"d5be4b11-df53-4c35-9147-2e9ae5dad899","Function","SJob","tvf_AssetsCheckForDuplicate","","Different","483C0D1DFA701CCBA00C06E2930FA03A5C964684DA095043B4965F3ED0D86AC7","93DEC9A0BEA8FEFCDA4B067C314DA4AD3D4579B30C9F3047846564CB34FE11DC","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Programmability\Functions\SJob.tvf_AssetsCheckForDuplicate.sql","","System.Object[]","CanonicalAlter","True","False","","Source-controlled SQL file resolved."
