"ComparisonGuid","ObjectType","SchemaName","ObjectName","ParentObjectName","DifferenceType","SourceHash","TargetHash","SourceFile","PrepareFile","PreflightFile","SupportFiles","DeploymentMode","IsSupported","WasMaterialized","MaterializedDefinitionSha256","MaterializedFiles","ConstraintKind","Reason"
"a5ad02db-de22-4462-b264-f4ddea544c4a","Table","SSop","CriticalProjectNotes","","MissingInTarget","E4B2D5003490FDBC5FA106B10DECF08E30B910F43800A38EAB41787BE15CD4A8","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Tables\SSop.CriticalProjectNotes.sql","","","System.Object[]","CanonicalCreate","True","False","","System.Object[]","","Source-controlled SQL file resolved."
"6c5a4080-4dd8-4657-ab55-78c1c89ace56","Constraint","SCore","DF__tvf_DataO__IsHid__25767D7C","tvf_DataObjectTransitionValidate","MissingInTarget","4C56535AC1DA0D677F77958CF60EA6DCEA4AB40DC473DA768AF95412767B9683","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsHid__25767D7C.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsHid__25767D7C.preflight.sql","System.Object[]","ConstraintCreate","True","False","A8E3545B05890BC0060027C5A60F46F6EF6CD1AFFC6F6547D6CC7D5AF867B161","System.String[]","DEFAULT","Source-controlled constraint SQL files were resolved."
"792bc6e9-4989-42fc-b78d-818f4d8e87ed","Constraint","SCore","DF__tvf_DataO__IsInf__275EC5EE","tvf_DataObjectTransitionValidate","MissingInTarget","5CDDE45AB400547D17C1F511018C11F189CBCD8DED9C3CA918E4D96BBE1C14C9","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsInf__275EC5EE.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsInf__275EC5EE.preflight.sql","System.Object[]","ConstraintCreate","True","False","DF261A1223EF9F09F76C7C41470BC5386F345801379AA9711813A997C7B9935C","System.String[]","DEFAULT","Source-controlled constraint SQL files were resolved."
"4ed9a009-c3d0-487f-b4f9-6c88ad49d7e5","Constraint","SCore","DF__tvf_DataO__IsInv__266AA1B5","tvf_DataObjectTransitionValidate","MissingInTarget","47FFCB032EC9ABF53490116879B46A434AAB37E57A8BF0C7DDB54C1C9DD0DBC2","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsInv__266AA1B5.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsInv__266AA1B5.preflight.sql","System.Object[]","ConstraintCreate","True","False","7EA15F0FB6F5909E0B1626355BABCEC26C1A846CB48AC9D086463E0FD3AEA5A4","System.String[]","DEFAULT","Source-controlled constraint SQL files were resolved."
"895bc721-7581-4c20-8308-37abc61b6d0b","Constraint","SCore","DF__tvf_DataO__IsRea__24825943","tvf_DataObjectTransitionValidate","MissingInTarget","913A4FFEC21A8C990E21FCA37CF72D5DDBA81B2AE629852DC83F441956B45D5A","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsRea__24825943.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsRea__24825943.preflight.sql","System.Object[]","ConstraintCreate","True","False","33ACABD98491DC316BC9F0A7B14B310B3E725C7867DCC6A05C7329AC0ACD0614","System.String[]","DEFAULT","Source-controlled constraint SQL files were resolved."
"65cff6ea-d483-4930-95eb-05f2cf44874c","Constraint","SCore","DF__tvf_DataO__Messa__2852EA27","tvf_DataObjectTransitionValidate","MissingInTarget","AE23361C700959395C0E8EAB5A839ABD85DF04F2246652F12AFC7A455D1AFFD5","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__Messa__2852EA27.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__Messa__2852EA27.preflight.sql","System.Object[]","ConstraintCreate","True","False","78AE966C56D426F14E1F10959ECD319E7762C374EA902B8FA29FED6C70EEEC6F","System.String[]","DEFAULT","Source-controlled constraint SQL files were resolved."
"66547994-5661-4ba3-878f-98f01231064e","Constraint","SCore","DF__tvf_DataO__Targe__229A10D1","tvf_DataObjectTransitionValidate","MissingInTarget","DC8397CCE23522BDB38F8F2530FEE78870948E5374A9E2E496E8E953666845DC","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__Targe__229A10D1.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__Targe__229A10D1.preflight.sql","System.Object[]","ConstraintCreate","True","False","8178317E84A8D7833A1E9851EE9DECA4177C96D4CA65C043F0D6421DB41DEEEA","System.String[]","DEFAULT","Source-controlled constraint SQL files were resolved."
"653327d2-be82-46a4-ad44-c0b17260cbe8","Constraint","SCore","DF__tvf_DataO__Targe__238E350A","tvf_DataObjectTransitionValidate","MissingInTarget","FCFDE80E381BF5EDA60434BD53700953F254E3C7480743CF0584BFBF0C230524","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__Targe__238E350A.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__Targe__238E350A.preflight.sql","System.Object[]","ConstraintCreate","True","False","85820182A65BBAC21CCA35F8163B626EE57B86D1186635DA5769BEFF2F7B9B2A","System.String[]","DEFAULT","Source-controlled constraint SQL files were resolved."
"201071e9-fb41-4fec-b39e-dd2af7fb1f13","Constraint","SCore","DF__tvf_Workf__IsHid__00A4EB80","tvf_WorkflowTransitionValidate","MissingInTarget","4C56535AC1DA0D677F77958CF60EA6DCEA4AB40DC473DA768AF95412767B9683","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowTransitionValidate.DF__tvf_Workf__IsHid__00A4EB80.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowTransitionValidate.DF__tvf_Workf__IsHid__00A4EB80.preflight.sql","System.Object[]","ConstraintCreate","True","False","A8E3545B05890BC0060027C5A60F46F6EF6CD1AFFC6F6547D6CC7D5AF867B161","System.String[]","DEFAULT","Source-controlled constraint SQL files were resolved."
"e37df8ec-9be9-4c71-be44-851f15fc4b01","Constraint","SCore","DF__tvf_Workf__IsHid__0751E90F","tvf_WorkflowValidate","MissingInTarget","4C56535AC1DA0D677F77958CF60EA6DCEA4AB40DC473DA768AF95412767B9683","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowValidate.DF__tvf_Workf__IsHid__0751E90F.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowValidate.DF__tvf_Workf__IsHid__0751E90F.preflight.sql","System.Object[]","ConstraintCreate","True","False","A8E3545B05890BC0060027C5A60F46F6EF6CD1AFFC6F6547D6CC7D5AF867B161","System.String[]","DEFAULT","Source-controlled constraint SQL files were resolved."
