"ComparisonGuid","ObjectType","SchemaName","ObjectName","ParentObjectName","DifferenceType","SourceHash","TargetHash","SourceFile","PreflightFile","SupportFiles","DeploymentMode","IsSupported","Reason"
"cddb2931-ee4f-4498-9f76-88d9b206f3bd","Table","SCore","ObjectSecurity","","Different","6BB3BF24C7B4A3991239D04BD8F0726389DCDE6AE5BC4E0B71FBFB5B5FF9751C","A623F9F7A4F49E3C04A33D2B79D18CA98E8BB5396075F8193FEAADF64DFA4CB4","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\CYB361\SCore.ObjectSecurity.alter.sql","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\CYB361\SCore.ObjectSecurity.preflight.sql","System.String[]","DedicatedMigration","True","Guarded data-preserving ObjectSecurity alignment using reusable ROWGUIDCOL, index and statistics dependency handling."
"ba9952f0-b217-4532-ad00-9d3e6b0af6e7","Function","SSop","tvf_Quotes","","Different","059B0D03C8332E7E93E52CFF48EAD955C645D6B955FDE2D578937216C8346682","2BEEC6AE0711F877EE61B8991246FFD6576FBCB9844D65D1C7A49C40D4711A0C","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Programmability\Functions\SSop.tvf_Quotes.sql","","System.Object[]","CanonicalAlter","True","Source-controlled SQL file resolved."
"4fa32e3d-648d-4897-85eb-3162b44d0e90","StoredProcedure","SFin","TransactionSageSubmission_Requeue","","Different","FC2CFC1FF2A728FB1744BE903F15D7683E734D593D786E7A15525A7BE05DCD4E","FC94E559DCD54FCC8EF5FF880AD1492E07190CD7BA637EBB304C778A6F8AB165","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Programmability\Procedures\SFin.TransactionSageSubmission_Requeue.sql","","System.Object[]","CanonicalAlter","True","Source-controlled SQL file resolved."
"106099a1-1d6c-409d-a732-e270fbb733f2","StoredProcedure","SFin","TransactionsUpsert","","Different","C391EFDAAE4BDCD9A29C7DBE1807018B0ACAF58108223093E3301EA7C3A724B5","116776A2F2D99059A58E28ADC179E66D8D0A20EB917A66BF396E6FDB75E5E030","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Programmability\Procedures\SFin.TransactionsUpsert.sql","","System.Object[]","CanonicalAlter","True","Source-controlled SQL file resolved."
"1acf6c5f-8190-4648-b3da-79039141c419","StoredProcedure","SFin","TransactionUnbatch","","Different","1CA6DD5265A8475478A2E2C276E8B4A461D6B4EA3D2B123FB9CF4870491B4B87","DCE21555AF039780A0BD5AE0A78B7143D4AF685356B5B20F63845EB31EEF4FD7","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Programmability\Procedures\SFin.TransactionUnbatch.sql","","System.Object[]","CanonicalAlter","True","Source-controlled SQL file resolved."
"4168d7d5-8350-4951-bde3-34e8639cc0bd","Trigger","SFin","tr_Transactions_RecordBatchApprovalTransition","SFin.Transactions","Different","CD72136B6C2978B7B82720382A0CE7815F9533485FC2678109DB5FBE8A62615F","3121AB6C36D3BB16252F3FE88240DB245937D0AFD72E8F038B568C0BBEB312BA","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Programmability\Triggers\SFin.tr_Transactions_RecordBatchApprovalTransition.sql","","System.Object[]","CanonicalAlter","True","Source-controlled SQL file resolved."
