"ComparisonGuid","ObjectType","SchemaName","ObjectName","ParentObjectName","DifferenceType","IsDeployable","IsDestructiveRisk","IsSelected","HasExplicitSelection"
"8c9a391b-29db-48c6-b2b8-53b94c5fcd26","Function","SJob","AssetDuplicateCheck","","MissingInTarget","True","False","True","True"
"0ae48b97-a4df-4600-9e36-dae9074ed2fb","Function","SJob","tvf_AssetsCheckForDuplicate","","MissingInTarget","True","False","True","True"
