"ComparisonGuid","ObjectType","SchemaName","ObjectName","ParentObjectName","DifferenceType","SourceHash","TargetHash","SourceFile","PrepareFile","PreflightFile","SupportFiles","DeploymentMode","IsSupported","WasMaterialized","MaterializedDefinitionSha256","MaterializedFiles","ConstraintKind","Reason"
"66547994-5661-4ba3-878f-98f01231064e","Constraint","SCore","DF__tvf_DataO__Targe__229A10D1","tvf_DataObjectTransitionValidate","MissingInTarget","DC8397CCE23522BDB38F8F2530FEE78870948E5374A9E2E496E8E953666845DC","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__Targe__229A10D1.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__Targe__229A10D1.preflight.sql","System.Object[]","ConstraintCreate","True","True","8178317E84A8D7833A1E9851EE9DECA4177C96D4CA65C043F0D6421DB41DEEEA","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"653327d2-be82-46a4-ad44-c0b17260cbe8","Constraint","SCore","DF__tvf_DataO__Targe__238E350A","tvf_DataObjectTransitionValidate","MissingInTarget","FCFDE80E381BF5EDA60434BD53700953F254E3C7480743CF0584BFBF0C230524","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__Targe__238E350A.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__Targe__238E350A.preflight.sql","System.Object[]","ConstraintCreate","True","True","85820182A65BBAC21CCA35F8163B626EE57B86D1186635DA5769BEFF2F7B9B2A","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"201071e9-fb41-4fec-b39e-dd2af7fb1f13","Constraint","SCore","DF__tvf_Workf__IsHid__00A4EB80","tvf_WorkflowTransitionValidate","MissingInTarget","4C56535AC1DA0D677F77958CF60EA6DCEA4AB40DC473DA768AF95412767B9683","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowTransitionValidate.DF__tvf_Workf__IsHid__00A4EB80.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowTransitionValidate.DF__tvf_Workf__IsHid__00A4EB80.preflight.sql","System.Object[]","ConstraintCreate","True","True","A8E3545B05890BC0060027C5A60F46F6EF6CD1AFFC6F6547D6CC7D5AF867B161","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"e37df8ec-9be9-4c71-be44-851f15fc4b01","Constraint","SCore","DF__tvf_Workf__IsHid__0751E90F","tvf_WorkflowValidate","MissingInTarget","4C56535AC1DA0D677F77958CF60EA6DCEA4AB40DC473DA768AF95412767B9683","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowValidate.DF__tvf_Workf__IsHid__0751E90F.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowValidate.DF__tvf_Workf__IsHid__0751E90F.preflight.sql","System.Object[]","ConstraintCreate","True","True","A8E3545B05890BC0060027C5A60F46F6EF6CD1AFFC6F6547D6CC7D5AF867B161","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"81fb7dd9-eba8-47f6-a0bc-3d7805d1fbc6","Constraint","SCore","DF__tvf_Workf__IsHid__79F7EDF1","tvf_WorkflowStatusValidate","MissingInTarget","4C56535AC1DA0D677F77958CF60EA6DCEA4AB40DC473DA768AF95412767B9683","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowStatusValidate.DF__tvf_Workf__IsHid__79F7EDF1.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowStatusValidate.DF__tvf_Workf__IsHid__79F7EDF1.preflight.sql","System.Object[]","ConstraintCreate","True","True","A8E3545B05890BC0060027C5A60F46F6EF6CD1AFFC6F6547D6CC7D5AF867B161","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"a116c04c-2ea4-4a75-92cb-4a4ba86ff3d4","Constraint","SCore","DF__tvf_Workf__IsInf__028D33F2","tvf_WorkflowTransitionValidate","MissingInTarget","5CDDE45AB400547D17C1F511018C11F189CBCD8DED9C3CA918E4D96BBE1C14C9","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowTransitionValidate.DF__tvf_Workf__IsInf__028D33F2.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowTransitionValidate.DF__tvf_Workf__IsInf__028D33F2.preflight.sql","System.Object[]","ConstraintCreate","True","True","DF261A1223EF9F09F76C7C41470BC5386F345801379AA9711813A997C7B9935C","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"e0a06af5-3da0-40de-ae41-70086f8b5a46","Constraint","SCore","DF__tvf_Workf__IsInf__093A3181","tvf_WorkflowValidate","MissingInTarget","5CDDE45AB400547D17C1F511018C11F189CBCD8DED9C3CA918E4D96BBE1C14C9","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowValidate.DF__tvf_Workf__IsInf__093A3181.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowValidate.DF__tvf_Workf__IsInf__093A3181.preflight.sql","System.Object[]","ConstraintCreate","True","True","DF261A1223EF9F09F76C7C41470BC5386F345801379AA9711813A997C7B9935C","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"a3afc765-20bb-43e1-8dce-1db725ce51f2","Constraint","SCore","DF__tvf_Workf__IsInf__7BE03663","tvf_WorkflowStatusValidate","MissingInTarget","5CDDE45AB400547D17C1F511018C11F189CBCD8DED9C3CA918E4D96BBE1C14C9","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowStatusValidate.DF__tvf_Workf__IsInf__7BE03663.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowStatusValidate.DF__tvf_Workf__IsInf__7BE03663.preflight.sql","System.Object[]","ConstraintCreate","True","True","DF261A1223EF9F09F76C7C41470BC5386F345801379AA9711813A997C7B9935C","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"b86c0a07-4575-4332-bdff-21717b54c07e","Constraint","SCore","DF__tvf_Workf__IsInv__01990FB9","tvf_WorkflowTransitionValidate","MissingInTarget","47FFCB032EC9ABF53490116879B46A434AAB37E57A8BF0C7DDB54C1C9DD0DBC2","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowTransitionValidate.DF__tvf_Workf__IsInv__01990FB9.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowTransitionValidate.DF__tvf_Workf__IsInv__01990FB9.preflight.sql","System.Object[]","ConstraintCreate","True","True","7EA15F0FB6F5909E0B1626355BABCEC26C1A846CB48AC9D086463E0FD3AEA5A4","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"b6c25924-42c4-4e86-b9bd-56fc067e3998","Constraint","SCore","DF__tvf_Workf__IsInv__08460D48","tvf_WorkflowValidate","MissingInTarget","47FFCB032EC9ABF53490116879B46A434AAB37E57A8BF0C7DDB54C1C9DD0DBC2","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowValidate.DF__tvf_Workf__IsInv__08460D48.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_WorkflowValidate.DF__tvf_Workf__IsInv__08460D48.preflight.sql","System.Object[]","ConstraintCreate","True","True","7EA15F0FB6F5909E0B1626355BABCEC26C1A846CB48AC9D086463E0FD3AEA5A4","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
